nombre,tipo,telefono,rating_actual,reviews_count,reviews_4_estrellas,rating_potencial,impacto_estimado,top_topic_1,top_topic_2,top_topic_3,mensaje,url_gmb,place_id,address,enviado,respondio,agendo_call,hizo_call,trial,notas
La Parolaccia Dolce,bares,+5491145111774,4.3,12193,2438,4.7,+44%,flauta de champán (1055),ravioles (165),carta (161),"Hola, analicé tus 12,193 reviews con IA:

Lo que más destacan de La Parolaccia Dolce:
→ 1,055 flauta de champán ⭐
→ 165 ravioles
→ 161 carta

Tenés 2,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJ981dgcy1vJURk0Hrf2C3ls8,"Av. del Libertador 5823, C1428ARB Cdad. Autónoma de Buenos Aires",False,,,,,
Izakaya by Sushi Pop Palermo,bares,+5491152725900,4.5,12042,2408,4.7,+44%,setting (136),lemonade (111),tragos (59),"Hola, analicé tus 12,042 reviews con IA:

Lo que más destacan de Izakaya by Sushi Pop Palermo:
→ 136 setting ⭐
→ 111 lemonade
→ 59 tragos

Tenés 2,400+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.sushipop.com.ar/,ChIJ7dqQuJG1vJURiZxJOIRL7Xk,"Soler 5598, C1425 Cdad. Autónoma de Buenos Aires",False,,,,,
Taco Factory / Mexican food,bares,+5491126042528,4.1,11250,2250,4.5,+44%,setting (213),tragos (87),cheddar (70),"Hola, analicé tus 11,250 reviews con IA:

Lo que más destacan de Taco Factory / Mexican food:
→ 213 setting ⭐
→ 87 tragos
→ 70 cheddar

Tenés 2,200+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.1★ a 4.2★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",,ChIJYfY6Aom1vJURlB12OBP4ciw,"Gorriti 5062, C1414 Cdad. Autónoma de Buenos Aires",False,,,,,
Imperio,restaurantes,+5491148544864,4.0,10899,2179,4.4,+44%,empanada (228),fugazzetta (166),socca (139),"Hola, analicé tus 10,899 reviews con IA:

Lo que más destacan de Imperio:
→ 228 empanada ⭐
→ 166 fugazzetta
→ 139 socca

Tenés 2,100+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4★ a 4.1★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://instagram.com/pizzeriaimperio1946?igshid=108cdugcqzirv,ChIJtb87QnPKvJURqGtH-qEpUwo,"Av. Corrientes 5206, C1414 AJS, Cdad. Autónoma de Buenos Aires",False,,,,,
Malvón,restaurantes,+5491124634103,4.2,10844,2168,4.6000000000000005,+45%,brunch (2102),patio (733),afternoon snack (360),"Hola, analicé tus 10,844 reviews con IA:

Lo que más destacan de Malvón:
→ 2,102 brunch ⭐
→ 733 patio
→ 360 afternoon snack

Tenés 2,100+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.2★ a 4.3★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.malvon.ar/,ChIJX52LW3XKvJURCOdY4OdgJfk,"Serrano 789, C1414DEO Cdad. Autónoma de Buenos Aires",False,,,,,
Croque Madame,restaurantes,+5491148068639,4.5,10672,2134,4.7,+44%,museo (384),palacio (261),grigori (165),"Hola, analicé tus 10,672 reviews con IA:

Lo que más destacan de Croque Madame:
→ 384 museo ⭐
→ 261 palacio
→ 165 grigori

Tenés 2,100+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.croquemadame.com.ar/,ChIJP6BkFWK1vJURH57rMLPgrtM,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",False,,,,,
Croque Madame,cafeterias,+5491148068639,4.5,10672,2134,4.7,+44%,museo (384),palacio (261),grigori (165),"Hola, analicé tus 10,672 reviews con IA:

Lo que más destacan de Croque Madame:
→ 384 museo ⭐
→ 261 palacio
→ 165 grigori

Tenés 2,100+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.croquemadame.com.ar/,ChIJP6BkFWK1vJURH57rMLPgrtM,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",False,,,,,
Dandy Grill,restaurantes,+5491147764549,4.6,10277,2055,4.8,+19%,marcelo (202),skirt steak (178),vacuum (105),"Hola, analicé tus 10,277 reviews con IA:

Lo que más destacan de Dandy Grill:
→ 202 marcelo ⭐
→ 178 skirt steak
→ 105 vacuum

Tenés 2,000+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.6★ a 4.7★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://somosdandy.com/,ChIJd3kGtJG1vJURm28rlKulePc,"Fitz Roy 2199, C1425 Cdad. Autónoma de Buenos Aires",False,,,,,
Temple Craft Soho,restaurantes,+5491167390110,4.6,9976,1995,4.8,+19%,IPA (156),thiago (144),jasmine (122),"Hola, analicé tus 9,976 reviews con IA:

Lo que más destacan de Temple Craft Soho:
→ 156 IPA ⭐
→ 144 thiago
→ 122 jasmine

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.6★ a 4.7★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://templebeer.com/es,ChIJ-T3lSoa1vJUR56ZtGBIbi1A,"Costa Rica 4699, C1414BNF Cdad. Autónoma de Buenos Aires",False,,,,,
Temple Craft Soho,bares,+5491167390110,4.6,9976,1995,4.8,+19%,IPA (156),thiago (144),jasmine (122),"Hola, analicé tus 9,976 reviews con IA:

Lo que más destacan de Temple Craft Soho:
→ 156 IPA ⭐
→ 144 thiago
→ 122 jasmine

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.6★ a 4.7★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://templebeer.com/es,ChIJ-T3lSoa1vJUR56ZtGBIbi1A,"Costa Rica 4699, C1414BNF Cdad. Autónoma de Buenos Aires",False,,,,,
La Parolaccia Casa Tua Palermo,restaurantes,+5491153027613,4.3,9626,1925,4.7,+44%,ravioli (234),letter (152),setting (142),"Hola, analicé tus 9,626 reviews con IA:

Lo que más destacan de La Parolaccia Casa Tua Palermo:
→ 234 ravioli ⭐
→ 152 letter
→ 142 setting

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJadNmOXm1vJURODx8DYgI54w,"Av. Cerviño 3561, C1425 Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
La Parolaccia Casa Tua Palermo,cafeterias,+5491153027613,4.3,9626,1925,4.7,+44%,ravioli (234),letter (152),setting (142),"Hola, analicé tus 9,626 reviews con IA:

Lo que más destacan de La Parolaccia Casa Tua Palermo:
→ 234 ravioli ⭐
→ 152 letter
→ 142 setting

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJadNmOXm1vJURODx8DYgI54w,"Av. Cerviño 3561, C1425 Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
La Parolaccia Casa Tua Palermo,bares,+5491153027613,4.3,9626,1925,4.7,+44%,ravioli (234),letter (152),setting (142),"Hola, analicé tus 9,626 reviews con IA:

Lo que más destacan de La Parolaccia Casa Tua Palermo:
→ 234 ravioli ⭐
→ 152 letter
→ 142 setting

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.3★ a 4.4★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.laparolaccia.com/,ChIJadNmOXm1vJURODx8DYgI54w,"Av. Cerviño 3561, C1425 Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
Vaffanculo Cantina Italiana,restaurantes,+5491147736457,4.0,9519,1903,4.4,+44%,setting (850),last (261),sorrentinos (174),"Hola, analicé tus 9,519 reviews con IA:

Lo que más destacan de Vaffanculo Cantina Italiana:
→ 850 setting ⭐
→ 261 last
→ 174 sorrentinos

Tenés 1,900+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4★ a 4.1★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.facebook.com/VaffanculoCantina/,ChIJKWd9xJe1vJURlVrXfp2-iNA,"BRF, Báez 242, C1426 Cdad. Autónoma de Buenos Aires",False,,,,,
La Mar,restaurantes,+5491139559600,4.4,9476,1895,4.6000000000000005,+20%,tragos (235),patio (146),setting (123),"Hola, analicé tus 9,476 reviews con IA:

Lo que más destacan de La Mar:
→ 235 tragos ⭐
→ 146 patio
→ 123 setting

Tenés 1,800+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.lamarcebicheria.com/buenos-aires/,ChIJkR20gJS1vJURB_Tw0torRPU,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",False,,,,,
La Mar,bares,+5491139559600,4.4,9476,1895,4.6000000000000005,+20%,tragos (235),patio (146),setting (123),"Hola, analicé tus 9,476 reviews con IA:

Lo que más destacan de La Mar:
→ 235 tragos ⭐
→ 146 patio
→ 123 setting

Tenés 1,800+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://www.lamarcebicheria.com/buenos-aires/,ChIJkR20gJS1vJURB_Tw0torRPU,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",False,,,,,
El Ateneo,cafeterias,+5491157869840,4.5,9162,1832,4.7,+44%,café (541),floor (392),plants (95),"Hola, analicé tus 9,162 reviews con IA:

Lo que más destacan de El Ateneo:
→ 541 café ⭐
→ 392 floor
→ 95 plants

Tenés 1,800+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.yenny-elateneo.com/local/juramento/,ChIJv2HIhNO1vJURtf1uUAaQDrg,"Av. Cabildo 2093, C1428AAC Cdad. Autónoma de Buenos Aires, Argentina",False,,,,,
Jerome Palermo,restaurantes,+5491164723635,4.2,8990,1798,4.6000000000000005,+45%,cerveza (742),cheddar (298),brewery (76),"Hola, analicé tus 8,990 reviews con IA:

Lo que más destacan de Jerome Palermo:
→ 742 cerveza ⭐
→ 298 cheddar
→ 76 brewery

Tenés 1,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.2★ a 4.3★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",,ChIJb1rw83fKvJURF3Jvv9v-IiE,"Malabia 1401, C1414DMC Cdad. Autónoma de Buenos Aires",False,,,,,
Jerome Palermo,bares,+5491164723635,4.2,8990,1798,4.6000000000000005,+45%,cerveza (742),cheddar (298),brewery (76),"Hola, analicé tus 8,990 reviews con IA:

Lo que más destacan de Jerome Palermo:
→ 742 cerveza ⭐
→ 298 cheddar
→ 76 brewery

Tenés 1,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.2★ a 4.3★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",,ChIJb1rw83fKvJURF3Jvv9v-IiE,"Malabia 1401, C1414DMC Cdad. Autónoma de Buenos Aires",False,,,,,
Temple Craft Hollywood,restaurantes,+5491176049548,4.5,8898,1779,4.7,+44%,francisco franco (121),social club buena birra (94),the moon (25),"Hola, analicé tus 8,898 reviews con IA:

Lo que más destacan de Temple Craft Hollywood:
→ 121 francisco franco ⭐
→ 94 social club buena birra
→ 25 the moon

Tenés 1,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://templebeer.com/es,ChIJfeoTkY21vJUR8M0fpAvotCI,"Honduras 5602, C1414BNF Cdad. Autónoma de Buenos Aires",False,,,,,
Temple Craft Hollywood,bares,+5491176049548,4.5,8898,1779,4.7,+44%,francisco franco (121),social club buena birra (94),the moon (25),"Hola, analicé tus 8,898 reviews con IA:

Lo que más destacan de Temple Craft Hollywood:
→ 121 francisco franco ⭐
→ 94 social club buena birra
→ 25 the moon

Tenés 1,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.5★ a 4.6★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",https://templebeer.com/es,ChIJfeoTkY21vJUR8M0fpAvotCI,"Honduras 5602, C1414BNF Cdad. Autónoma de Buenos Aires",False,,,,,
Tigre Morado,restaurantes,+5491147752927,4.4,8734,1746,4.6000000000000005,+20%,curry (470),sushi (359),setting (230),"Hola, analicé tus 8,734 reviews con IA:

Lo que más destacan de Tigre Morado:
→ 470 curry ⭐
→ 359 sushi
→ 230 setting

Tenés 1,700+ reviews de 4★ que podemos convertir a 5★

También te mostramos:
→ Qué dice la gente de tu equipo
→ Cómo estás vs la competencia
→ Cómo generar más reseñas 5 estrellas

85% de los clientes miran reseñas antes de visitar un lugar y si mejoramos tu clasificación de 4.4★ a 4.5★ podemos lograr hasta un 10% más de clientes en promedio.

Te gustaría tener una llamada así te cuento más?

Saludos! Justo.",http://www.tigremorado.com/,ChIJXwE_p8u1vJURTtKfOV2l7hM,"Honduras 5900, C1414 Cdad. Autónoma de Buenos Aires",False,,,,,
